Question,Ground Truth Answer,Ground Truth Context,Actual Retrieved Context
"ต่อไปนี้คือตัวอย่างคำถามที่ผู้ใช้อาจจะถามเกี่ยวกับข้อมูลร้านอาหารเฮือนเพ็ญ สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่:

**คำถามทั่วไป:**

*   ""เฮือนเพ็ญเป็นร้านอาหารประเภทไหน?""
*   ""เฮือนเพ็ญตั้งอยู่ที่ไหนในเชียงใหม่?""
*   ""เฮือนเพ็ญเปิดให้บริการอาหารอะไร?""
*   ""ราคาอาหารที่เฮือนเพ็ญประมาณเท่า","**คำถาม:** ""เฮือนเพ็ญเป็นร้านอาหารประเภทไหน?""

**คำตอบ:** เฮือนเพ็ญเป็นร้านอาหารประเภทอาหารเหนือ

**คำถาม:** ""เฮือนเพ็ญตั้งอยู่ที่ไหนในเชียงใหม่?""

**คำตอบ:** เฮือนเพ็ญตั้งอยู่ที่ ถ.ราชดำเนิน

**คำถาม:** ""เฮือนเพ็ญเปิดให้บริการอาหารอะไร?""

**คำตอบ:** เฮือนเพ็ญเปิดให้บริการอาหารเหนือ และมีเมนูแนะนำคือ น้ำพริกหนุ่ม, ไส้อั่ว, แกงฮังเล

**คำถาม:** ""ราคาอาหารที่เฮือนเพ็ญประมาณเท่าไหร่?""

**คำตอบ:** ราคาอาหารที่เฮือนเพ็ญอยู่ในช่วง $$-$$$","Document ID: rest_002
{
  ""id"": ""rest_002"",
  ""type"": ""ร้านอาหาร"",
  ""name"": ""เฮือนเพ็ญ"",
  ""location"": ""ถ.ราชดำเนิน"",
  ""cuisine"": ""อาหารเหนือ"",
  ""signature_dish"": ""น้ำพริกหนุ่ม, ไส้อั่ว, แกงฮังเล"",
  ""price_range"": ""$$-$$$"",
  ""review_summary"": ""ร้านอาหารเหนือบรรยากาศดี รสชาติต้นตำรับ เมนูหลากหลาย""
}",
"ต่อไปนี้เป็นตัวอย่างคำถามเพิ่มเติมที่ผู้ใช้อาจจะถามเกี่ยวกับข้อมูลร้านอาหารข้าวซอยเสมอใจ (ฟ้าฮ่าม) สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่:

**คำถามทั่วไปเกี่ยวกับร้าน:**

*   ""ร้านข้าวซอยเสมอใจ (ฟ้าฮ่าม) เปิดไหม?"" (ต้องมีข้อมูลเวลาเปิด-ปิดด้วย)
*   ""ร้านข้าวซอยเสมอใจ (ฟ้าฮ่าม) มีที่จอดรถไหม",ร้านข้าวซอยเสมอใจ (ฟ้าฮ่าม) ไม่มีข้อมูลเวลาเปิด-ปิด และข้อมูลที่จอดรถในขณะนี้,"Document ID: rest_001
{
  ""id"": ""rest_001"",
  ""type"": ""ร้านอาหาร"",
  ""name"": ""ข้าวซอยเสมอใจ (ฟ้าฮ่าม)"",
  ""location"": ""ถ.เจริญราษฎร์"",
  ""cuisine"": ""อาหารเหนือ"",
  ""signature_dish"": ""ข้าวซอยไก่, ข้าวซอยเนื้อ"",
  ""price_range"": ""$-$$"",
  ""review_summary"": ""ร้านข้าวซอยเก่าแก่ รสชาติเข้มข้น จัดจ้าน เป็นที่รู้จัก""
}",
"ต่อไปนี้คือตัวอย่างคำถามเพิ่มเติมที่ผู้ใช้อาจจะถามเกี่ยวกับข้อมูลสวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์ สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่:

**คำถามทั่วไปเกี่ยวกับสถานที่:**

*   ""สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์อยู่ที่ไหน?""
*   ""สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ",สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์ตั้งอยู่ที่ อ.แม่ริม เป็นสวนพฤกษศาสตร์ขนาดใหญ่ มีเรือนกระจกที่สวยงาม ทางเดินลอยฟ้า และพืชพรรณหลากหลายชนิด เหมาะแก่การเดินชมและถ่ายรูป,"Document ID: loc_002
{
  ""id"": ""loc_002"",
  ""type"": ""สถานที่ท่องเที่ยว"",
  ""name"": ""สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์"",
  ""location"": ""อ.แม่ริม"",
  ""description"": ""สวนพฤกษศาสตร์ขนาดใหญ่ มีเรือนกระจกที่สวยงาม ทางเดินลอยฟ้า และพืชพรรณหลากหลายชนิด เหมาะแก่การเดินชมและถ่ายรูป"",
  ""keywords"": [
    ""สวน"",
    ""พฤกษศาสตร์"",
    ""เรือนกระจก"",
    ""ถ่ายรูป"",
    ""ธรรมชาติ""
  ]
}",
"จากข้อมูลแผนเที่ยวเชียงใหม่ 2 วัน 1 คืน: เที่ยวธรรมชาติรอบนอก นี่คือตัวอย่างคำถามที่ผู้ใช้อาจจะถามระบบ RAG:

**คำถามทั่วไปเกี่ยวกับแผนเที่ยว:**

*   ""แผนเที่ยวเชียงใหม่ 2 วัน 1 คืน: เที่ยวธรรมชาติรอบนอก เหมาะกับใคร?""
*   ""แผนเที่ยวเชียงใหม่ 2 วัน 1 คืน: เที่ยวธรรมชาติรอบนอก มีกิจกรรม",แผนเที่ยวเชียงใหม่ 2 วัน 1 คืน: เที่ยวธรรมชาติรอบนอก เน้นที่ธรรมชาติและวิวสวย โดยในวันที่ 1 จะไปดอยสุเทพและม่อนแจ่ม ส่วนวันที่ 2 จะไปหมู่บ้านแม่กำปอง และกิ่วแม่ปาน (ถ้ามีเวลา) ก่อนเดินทางกลับ,"Document ID: plan_002
{
  ""id"": ""plan_002"",
  ""type"": ""แผนเที่ยว"",
  ""title"": ""แผนเที่ยวเชียงใหม่ 2 วัน 1 คืน: เที่ยวธรรมชาติรอบนอก"",
  ""day1"": ""ดอยสุเทพ, ม่อนแจ่ม"",
  ""day2"": ""หมู่บ้านแม่กำปอง, กิ่วแม่ปาน (ถ้ามีเวลา), เดินทางกลับ"",
  ""focus"": [
    ""ธรรมชาติ"",
    ""วิวสวย""
  ]
}",
"ต่อไปนี้คือตัวอย่างคำถามเพิ่มเติมที่ผู้ใช้อาจจะถามระบบ RAG โดยอิงจากข้อมูลที่ให้มา:

**คำถามทั่วไปเกี่ยวกับแผนเที่ยว:**

*   ""มีแผนเที่ยวเชียงใหม่ 3 วัน 2 คืนบ้างไหม?""
*   ""มีแผนเที่ยวที่เน้นการพักผ่อนสบายๆ ในเชียงใหม่ไหม?""
*   ""แผนเที่ยวนี้เหมาะกับใคร?""
*   ""แผนเที่ยวนี้เน้นอะไร","*   **""มีแผนเที่ยวเชียงใหม่ 3 วัน 2 คืนบ้างไหม?""** มีแผนเที่ยวเชียงใหม่ 3 วัน 2 คืน ชื่อ ""แผนเที่ยวเชียงใหม่ 3 วัน 2 คืน: สายชิลล์ กินเที่ยวในเมือง""
*   **""มีแผนเที่ยวที่เน้นการพักผ่อนสบายๆ ในเชียงใหม่ไหม?""** แผนเที่ยว ""แผนเที่ยวเชียงใหม่ 3 วัน 2 คืน: สายชิลล์ กินเที่ยวในเมือง"" อาจเหมาะกับการพักผ่อนสบายๆ เพราะเน้นกินเที่ยวในเมือง
*   **""แผนเที่ยวนี้เหมาะกับใคร?""** ไม่ได้ระบุไว้ว่าแผนเที่ยวนี้เหมาะกับใครโดยเฉพาะ
*   **""แผนเที่ยวนี้เน้นอะไร""** แผนเที่ยวนี้เน้น วัฒนธรรม, ช้อปปิ้ง และ คาเฟ่","Document ID: plan_001
{
  ""id"": ""plan_001"",
  ""type"": ""แผนเที่ยว"",
  ""title"": ""แผนเที่ยวเชียงใหม่ 3 วัน 2 คืน: สายชิลล์ กินเที่ยวในเมือง"",
  ""day1"": ""วัดเจดีย์หลวง, วัดพระสิงห์, ถนนคนเดินวันอาทิตย์"",
  ""day2"": ""คาเฟ่ในเมือง, ประตูท่าแพ, ตลาดวโรรส"",
  ""day3"": ""วัดอุโมงค์, เดินทางกลับ"",
  ""focus"": [
    ""วัฒนธรรม"",
    ""ช้อปปิ้ง"",
    ""คาเฟ่""
  ]
}",
"ต่อไปนี้คือตัวอย่างคำถามเพิ่มเติมที่ผู้ใช้อาจจะถามเกี่ยวกับข้อมูลวัดพระธาตุดอยสุเทพฯ สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่:

**คำถามทั่วไป:**

*   ""วัดพระธาตุดอยสุเทพราชวรวิหารเปิดให้เข้าชมเวลาไหนบ้าง?""
*   ""ค่าเข้าชมวัดพระธาตุดอยสุเทพฯ ราคาเท่าไหร่?""
*   ""ช่วงเวลาไหนที่",ช่วงเวลาที่ดีที่สุดในการเยี่ยมชมวัดพระธาตุดอยสุเทพราชวรวิหารคือ 09.00-11.00 น.,"Document ID: 1
{
  ""id"": 1,
  ""ชื่อสถานที่/ร้านอาหาร"": ""วัดพระธาตุดอยสุเทพราชวรวิหาร"",
  ""ประเภท"": ""วัด/สถานที่ท่องเที่ยว"",
  ""รายละเอียด"": ""วัดพระธาตุดอยสุเทพฯ แลนด์มาร์กสำคัญของเชียงใหม่ สถาปัตยกรรมล้านนา เจดีย์ทรงเชียงแสน จุดชมวิว"",
  ""การเดินทาง"": ""จากอำเภอเมืองเชียงใหม่ ถนนห้วยแก้ว-มหาวิทยาลัยเชียงใหม่ ผ่านสวนสัตว์เชียงใหม่และอนุสาวรีย์ครูบาศรีวิชัย"",
  ""เวลาเปิด-ปิด"": ""ทุกวัน 06.00-18.00 น."",
  ""ฤดูกาลแนะนำ"": ""พฤศจิกายน-ธันวาคม"",
  ""ช่วงเวลาที่ดีที่สุด"": ""09.00-11.00 น."",
  ""อัตราค่าเข้า"": ""20 บาท/คน (ค่าบริการรถราง)"",
  ""แผนเที่ยว"": ""สายบุญ/ครอบครัว""
}",
"นี่คือตัวอย่างคำถามเพิ่มเติมที่ผู้ใช้อาจจะถามเกี่ยวกับข้อมูลถนนคนเดินท่าแพ สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่:

**คำถามทั่วไป:**

*   ""ถนนคนเดินท่าแพเปิดวันไหนบ้าง?""
*   ""ถนนคนเดินท่าแพเปิดกี่โมง?""
*   ""ถนนคนเดินท่าแพตั้งอยู่ที่ไหน?""
*   ""ถนนคนเดินท่าแพมีอะไรขายบ้าง?""
*   ""ไปถนนคน","*   **ถนนคนเดินท่าแพเปิดวันไหนบ้าง?** ถนนคนเดินท่าแพเปิดวันอาทิตย์
*   **ถนนคนเดินท่าแพเปิดกี่โมง?** ถนนคนเดินท่าแพเปิดเวลา 18.00-22.00 น.
*   **ถนนคนเดินท่าแพตั้งอยู่ที่ไหน?** ถนนคนเดินท่าแพตั้งอยู่ที่ ถนนคนเดินท่าแพ เชียงใหม่
*   **ถนนคนเดินท่าแพมีอะไรขายบ้าง?** ถนนคนเดินท่าแพมีอาหาร ของฝาก ของที่ระลึก เสื้อผ้า งานฝีมือ
*   **ไปถนนคน** (คำถามไม่สมบูรณ์) ไม่สามารถตอบได้เนื่องจากคำถามไม่สมบูรณ์","Document ID: 3
{
  ""id"": 3,
  ""ชื่อสถานที่/ร้านอาหาร"": ""ถนนคนเดินท่าแพ"",
  ""ประเภท"": ""ถนนคนเดิน/ตลาด"",
  ""รายละเอียด"": ""ถนนคนเดินที่ใหญ่ที่สุดในเชียงใหม่ อาหาร ของฝาก ของที่ระลึก เสื้อผ้า งานฝีมือ"",
  ""การเดินทาง"": ""ถนนคนเดินท่าแพ เชียงใหม่"",
  ""เวลาเปิด-ปิด"": ""วันอาทิตย์ 18.00-22.00 น."",
  ""ฤดูกาลแนะนำ"": ""พฤศจิกายน-ธันวาคม"",
  ""ช่วงเวลาที่ดีที่สุด"": ""19.00-21.00 น."",
  ""อัตราค่าเข้า"": ""ฟรี"",
  ""แผนเที่ยว"": ""สายกิน/ช้อปปิ้ง/ครอบครัว""
}",
"นี่คือตัวอย่างคำถามเพิ่มเติมที่ผู้ใช้อาจจะถามเกี่ยวกับข้อมูล One Nimman สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่:

**คำถามทั่วไปเกี่ยวกับ One Nimman:**

*   ""One Nimman คืออะไร?""
*   ""One Nimman ตั้งอยู่ที่ไหนในเชียงใหม่?""
*   ""One Nimman เปิดทำการวันไหนบ้าง และเวลาอะไร?""
*   ""One Nimman เหมาะกับใคร?""
*   ""มีค่าเข้าชม","*   **One Nimman คืออะไร?** One Nimman คือย่าน/สถานที่ท่องเที่ยว ซึ่งเป็นแหล่งรวมร้านอาหาร ร้านแฟชั่น และมุมถ่ายรูปสุดชิค เหมาะสำหรับสังคมฮิปสเตอร์
*   **One Nimman ตั้งอยู่ที่ไหนในเชียงใหม่?** One Nimman ตั้งอยู่ที่นิมมานเหมินทร์ เชียงใหม่ (แยกรินคำ)
*   **One Nimman เปิดทำการวันไหนบ้าง และเวลาอะไร?** One Nimman เปิดทำการทุกวัน ตั้งแต่เวลา 11.00-23.00 น.
*   **One Nimman เหมาะกับใคร?** One Nimman เหมาะสำหรับสายชิล, กลุ่มเพื่อน และผู้ที่ชื่นชอบการถ่ายรูป
*   **มีค่าเข้าชมหรือไม่?** One Nimman เข้าชมฟรี","Document ID: 2
{
  ""id"": 2,
  ""ชื่อสถานที่/ร้านอาหาร"": ""One Nimman"",
  ""ประเภท"": ""ย่าน/สถานที่ท่องเที่ยว"",
  ""รายละเอียด"": ""ย่านนิมมานเหมินทร์ แหล่งรวมร้านอาหาร ร้านแฟชั่น มุมถ่ายรูปสุดชิค สังคมฮิปสเตอร์"",
  ""การเดินทาง"": ""นิมมานเหมินทร์ เชียงใหม่ (แยกรินคำ)"",
  ""เวลาเปิด-ปิด"": ""ทุกวัน 11.00-23.00 น."",
  ""ฤดูกาลแนะนำ"": ""พฤศจิกายน-ธันวาคม"",
  ""ช่วงเวลาที่ดีที่สุด"": ""19.00-21.00 น."",
  ""อัตราค่าเข้า"": ""ฟรี"",
  ""แผนเที่ยว"": ""สายชิล/เพื่อน/ถ่ายรูป""
}",
"ต่อไปนี้คือตัวอย่างคำถามที่ผู้ใช้อาจจะถามเกี่ยวกับข้อมูลถนนคนเดินท่าแพ สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่:

**คำถามทั่วไปเกี่ยวกับถนนคนเดินท่าแพ:**

*   ถนนคนเดินท่าแพเปิดวันไหนบ้าง?
*   ถนนคนเดินท่าแพเปิดกี่โมงถึงกี่โมง?
*   ถนนคนเดินท่าแพมีอะไรน่าสนใจบ้าง?
*   ถนนคนเดินท่าแพตั้งอยู่ที่ไหน?","**คำตอบที่ถูกต้องและสมบูรณ์ที่สุด (Ground Truth Answer):**

*   **ถนนคนเดินท่าแพเปิดวันไหนบ้าง?** ถนนคนเดินท่าแพเปิดเฉพาะวันอาทิตย์
*   **ถนนคนเดินท่าแพเปิดกี่โมงถึงกี่โมง?** ถนนคนเดินท่าแพเปิดตั้งแต่เวลา 18.00 น. ถึง 22.00 น.
*   **ถนนคนเดินท่าแพมีอะไรน่าสนใจบ้าง?** ถนนคนเดินท่าแพมีอาหาร ของฝาก ของที่ระลึก เสื้อผ้า และงานฝีมือ
*   **ถนนคนเดินท่าแพตั้งอยู่ที่ไหน?** ถนนคนเดินท่าแพตั้งอยู่ที่ถนนคนเดินท่าแพ เชียงใหม่","Document ID: 3
{
  ""id"": 3,
  ""ชื่อสถานที่/ร้านอาหาร"": ""ถนนคนเดินท่าแพ"",
  ""ประเภท"": ""ถนนคนเดิน/ตลาด"",
  ""รายละเอียด"": ""ถนนคนเดินที่ใหญ่ที่สุดในเชียงใหม่ อาหาร ของฝาก ของที่ระลึก เสื้อผ้า งานฝีมือ"",
  ""การเดินทาง"": ""ถนนคนเดินท่าแพ เชียงใหม่"",
  ""เวลาเปิด-ปิด"": ""วันอาทิตย์ 18.00-22.00 น."",
  ""ฤดูกาลแนะนำ"": ""พฤศจิกายน-ธันวาคม"",
  ""ช่วงเวลาที่ดีที่สุด"": ""19.00-21.00 น."",
  ""อัตราค่าเข้า"": ""ฟรี"",
  ""แผนเที่ยว"": ""สายกิน/ช้อปปิ้ง/ครอบครัว""
}",
"ต่อไปนี้คือตัวอย่างคำถามที่ผู้ใช้อาจจะถามเกี่ยวกับวัดพระธาตุดอยสุเทพราชวรวิหาร สำหรับระบบ RAG การท่องเที่ยวเชียงใหม่ โดยอิงจากข้อมูลที่ให้มา:

**คำถามทั่วไป:**

*   ""วัดพระธาตุดอยสุเทพราชวรวิหารเปิดทำการวันไหนบ้าง?""
*   ""เวลาเปิดปิดของวัดพระธาตุดอยสุเทพราชวรวิหาร",วัดพระธาตุดอยสุเทพราชวรวิหารเปิดทำการทุกวัน ตั้งแต่เวลา 06.00-18.00 น.,"Document ID: 1
{
  ""id"": 1,
  ""ชื่อสถานที่/ร้านอาหาร"": ""วัดพระธาตุดอยสุเทพราชวรวิหาร"",
  ""ประเภท"": ""วัด/สถานที่ท่องเที่ยว"",
  ""รายละเอียด"": ""วัดพระธาตุดอยสุเทพฯ แลนด์มาร์กสำคัญของเชียงใหม่ สถาปัตยกรรมล้านนา เจดีย์ทรงเชียงแสน จุดชมวิว"",
  ""การเดินทาง"": ""จากอำเภอเมืองเชียงใหม่ ถนนห้วยแก้ว-มหาวิทยาลัยเชียงใหม่ ผ่านสวนสัตว์เชียงใหม่และอนุสาวรีย์ครูบาศรีวิชัย"",
  ""เวลาเปิด-ปิด"": ""ทุกวัน 06.00-18.00 น."",
  ""ฤดูกาลแนะนำ"": ""พฤศจิกายน-ธันวาคม"",
  ""ช่วงเวลาที่ดีที่สุด"": ""09.00-11.00 น."",
  ""อัตราค่าเข้า"": ""20 บาท/คน (ค่าบริการรถราง)"",
  ""แผนเที่ยว"": ""สายบุญ/ครอบครัว""
}",
